epoch,phase,source_best_epoch,total_loss,data_loss,ode_loss,ic_loss,forcing_loss,smooth_loss,d_smooth_loss,weighted_data_loss,weighted_ode_loss,weighted_ic_loss,weighted_forcing_loss,weighted_smooth_loss,weighted_d_smooth_loss,train_R2,all_R2,test_R2,optimizer_loss_before_step,summary_train_R2,summary_RMSE,summary_MAE
1425,train,,0.015623054467141628,0.010920220986008644,93.60765838623047,0.00021707774430979043,0.007289111148566008,1.2079291082045529e-05,9.395155939273536e-05,0.010920220986008644,0.0046803830191493034,2.1707774067181163e-05,7.289111181307817e-07,1.2079291344946341e-08,4.697577882240012e-10,0.8715226198070279,0.8715226198070279,,0.015618997626006603,,,
1450,train,,0.015594927594065666,0.010866505093872547,94.18268585205078,0.0001846982049755752,0.008031783625483513,1.4227275642042514e-05,9.458675049245358e-05,0.010866505093872547,0.004709134344011545,1.846982013375964e-05,8.031783522710612e-07,1.422727624600384e-08,4.729337477193951e-10,0.8715242932221984,0.8715242932221984,,0.01559485588222742,,,
1475,train,,0.01565101556479931,0.011158173903822899,89.17103576660156,0.0003343164862599224,0.008434572257101536,1.560887903906405e-05,8.958514808909968e-05,0.011158173903822899,0.00445855176076293,3.343165008118376e-05,8.434572009718977e-07,1.560887952223311e-08,4.479257242895329e-10,0.865794229676105,0.865794229676105,,0.015941914170980453,,,
1500,train,,0.015621322207152843,0.010833462700247765,95.28758239746094,0.0002260977926198393,0.008536890149116516,1.6176889403141104e-05,9.578314347891137e-05,0.010833462700247765,0.0047643790021538734,2.2609779989579692e-05,8.536890163668431e-07,1.6176890937913413e-08,4.789156848872267e-10,0.8714294764427126,0.8714294764427126,,0.01563747599720955,,,
1525,train,,0.015585847198963165,0.01088422816246748,93.64212036132812,0.00018616620218381286,0.008791535161435604,1.721505213936325e-05,9.4171344244387e-05,0.01088422816246748,0.004682105965912342,1.8616619854583405e-05,8.791535037744325e-07,1.721505249463462e-08,4.708566869737751e-10,0.8714543061882349,0.8714543061882349,,0.015587124973535538,,,
1550,train,,0.015914594754576683,0.010829613544046879,101.23310852050781,0.00022372251260094345,0.009344900958240032,1.909009188238997e-05,0.00010181851394008845,0.010829613544046879,0.005061655305325985,2.2372250896296464e-05,9.344900604446593e-07,1.909009306189091e-08,5.090925458972606e-10,0.8667705038831391,0.8667705038831391,,0.016523225232958794,,,
1575,train,,0.015623622573912144,0.01097157783806324,92.58214569091797,0.00021833945356775075,0.010791684500873089,2.360080361540895e-05,9.314854833064601e-05,0.01097157783806324,0.004629107192158699,2.1833946448168717e-05,1.0791684417199576e-06,2.3600804865964164e-08,4.657427221665955e-10,0.8713921620690095,0.8713921620690095,,0.01561746746301651,,,
1600,train,,0.015575609169900417,0.010840470902621746,94.31927490234375,0.00017945079889614135,0.012021629139780998,2.7139980375068262e-05,9.497804421698675e-05,0.010840470902621746,0.0047159637324512005,1.7945079889614135e-05,1.20216293453268e-06,2.7139980929291596e-08,4.748901827333896e-10,0.871230507077608,0.871230507077608,,0.015577913261950016,,,
1625,train,,0.015750214457511902,0.011150062084197998,91.3761215209961,0.0003004678583238274,0.01271046046167612,2.897097874665633e-05,9.198651241604239e-05,0.011150062084197998,0.004568805918097496,3.0046785468584858e-05,1.2710460168818827e-06,2.8970980281428638e-08,4.5993256425624907e-10,0.8657094806275163,0.8657094806275163,,0.015848053619265556,,,
1650,train,,0.015650223940610886,0.010707135312259197,98.33451843261719,0.00025101128267124295,0.012336743995547295,2.710915396164637e-05,9.908827632898465e-05,0.010707135312259197,0.004916725680232048,2.5101127903326415e-05,1.2336744248386822e-06,2.7109155809057484e-08,4.954413546087721e-10,0.8711099614145748,0.8711099614145748,,0.015635738149285316,,,
